Date,Time,Acc,Gyro
2025-02-07,14:24:11,"0.11, -0.16, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:24:13,"0.11, -0.16, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:24:14,"0.11, -0.16, 1.00","-0.37, -0.31, -0.24"
2025-02-07,14:24:15,"0.11, -0.16, 0.99","-0.37, -0.24, -0.18"
2025-02-07,14:24:16,"0.11, -0.16, 0.99","-0.43, -0.24, -0.18"
2025-02-07,14:24:18,"0.11, -0.16, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:24:19,"0.11, -0.16, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:24:21,"0.11, -0.16, 1.00","-0.37, -0.31, -0.18"
2025-02-07,14:24:22,"0.11, -0.16, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:24:30,"0.11, -0.16, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:24:30,"0.14, -0.57, 0.97","-15.69, -10.62, 18.25"
2025-02-07,14:24:31,"0.74, -1.59, 0.24","-136.66, -126.16, 367.31"
2025-02-07,14:24:31,"-0.43, -0.22, 0.88","-30.27, 5.07, -17.52"
2025-02-07,14:24:32,"0.24, -0.26, -0.31","54.75, 158.20, 18.31"
2025-02-07,14:24:32,"0.62, -0.46, -1.04","64.33, 149.29, 25.82"
2025-02-07,14:24:33,"-0.14, -0.24, 1.03","-57.68, 7.87, 12.33"
2025-02-07,14:24:35,"0.21, -0.11, 0.98","3.60, 0.24, -0.85"
2025-02-07,14:25:57,"0.60, -1.29, 0.13","147.64, -192.26, 195.07"
2025-02-07,14:26:07,"0.60, -0.11, 1.01","125.49, 155.70, 4.09"
2025-02-07,14:26:08,"-0.14, -0.64, -0.72","-941.71, -149.54, 141.36"
2025-02-07,14:26:09,"-0.47, -0.13, -1.91","-89.78, -15.38, -27.10"
2025-02-07,14:26:10,"-0.20, 0.35, -0.17","481.75, 133.18, -46.08"
2025-02-07,14:26:11,"-0.21, 0.39, -0.35","330.69, -95.64, 16.97"
2025-02-07,14:26:12,"-0.31, 0.36, -0.74","355.77, 44.92, -23.68"
2025-02-07,14:26:12,"0.11, -0.62, 1.41","-1370.06, -101.62, 197.69"
2025-02-07,14:26:14,"0.62, -1.92, 1.34","-1911.74, -259.34, 241.94"
2025-02-07,14:26:15,"0.33, -0.82, 0.82","-30.46, 3.66, -10.19"
2025-02-07,14:26:15,"1.44, -1.43, 1.64","-40.47, 234.37, 113.83"
2025-02-07,14:26:16,"1.03, -0.79, 1.08","30.58, -303.28, -442.44"
2025-02-07,14:26:16,"0.51, -0.37, 0.66","63.54, 19.47, -63.66"
